K04T50Q 15.6   0.15 K1014 117.28643  322.29485   20.78092    8.79707  0.1570224  0.22788835   2.6545320  1 E2010-C46    94   5 1995-2010 0.47 M-v 38h MPC        0000          2004 TQ50          20100211
K04T59P 16.6   0.15 K1014  35.88356  253.17848  186.03915   12.50311  0.1554657  0.23292634   2.6161159  0 E2010-C46    42   5 2000-2010 0.44 M-v 38h MPC        0000          2004 TP59          20100209
K04TB9A 15.2   0.15 K1014 328.05763  266.38990  107.29614   11.17669  0.3187743  0.17449935   3.1715642  3 E2010-C46    41   2 2004-2008 0.45 M-v 38h MPC        0000          2004 TA119         20080511
K04TD4G 15.7   0.15 K1014 356.60248  147.03817  225.47659   16.20319  0.2316518  0.17680583   3.1439212  2 E2010-C46    61   4 2002-2009 0.43 M-v 38h MPC        0000          2004 TG134         20090919
K04V15X 16.0   0.15 K1014  37.90038  288.98353  133.94984    9.14443  0.1621089  0.22024577   2.7155908  2 E2010-C46    55   3 2004-2010 0.60 M-v 38h MPC        0000          2004 VX15          20100209
K04V53W 16.1   0.15 K1014  79.56944  296.86743   76.53166    9.10433  0.2115670  0.21667987   2.7453034  1 E2010-C46    73   4 1999-2010 0.53 M-v 38h MPC        0000          2004 VW53          20100209
K04X17G 15.5   0.15 K1014 105.97527  298.18457   86.71399    6.20553  0.0835069  0.21973622   2.7197873  1 E2010-C46    90   6 1999-2010 0.51 M-v 38h MPC        1000          2004 XG17          20100209
K04X64Y 15.9   0.15 K1014  95.34451  331.25597   33.51172    8.12446  0.2272104  0.22002081   2.7174415  1 E2010-C46    63   5 1997-2010 0.56 M-v 38h MPC        0000          2004 XY64          20100209
K04X66C 16.4   0.15 K1014  29.48115  275.11321  103.96064   14.55696  0.2453358  0.18360401   3.0658291  4 E2010-C46    19   2 2004-2010 0.45 M-v 38h MPC        0000          2004 XC66          20100208
K04X83T 16.3   0.15 K1014  57.87955  302.56072  122.45078    5.61308  0.1077343  0.21257855   2.7805012  1 E2010-C46    46   3 2004-2010 0.38 M-v 38h MPC        0000          2004 XT83          20100210
K04XA5T 15.6   0.15 K1014  94.36817  109.34466  279.85789   10.18911  0.0968575  0.22841872   2.6504214  3 E2010-C46    68   3 2004-2010 0.49 M-v 38h MPC        0000          2004 XT105         20100209
K05C21O 15.0   0.15 K1014 320.32404  168.51090  335.31125   22.12159  0.0817365  0.17610044   3.1523112  3 E2010-C46    60   2 2005-2010 0.57 M-v 38h MPC        0000          2005 CO21          20100210
